 radius= 4.1038E+01 lambda= 5.3200E-01 x= 6.4608E+02

Qext= 2.0331E+00 Qsca= 2.0331E+00 Qabs= 0.0000E+00 <cos>= 9.3873E-01
                 Qbk = 1.4257E+00
  theta       S11           POL           S33           S34
 151.65   4.10635E+03   4.51772E-01  -3.35058E+03   1.48128E+03
 152.36   3.98993E+03   2.96944E-01  -3.75636E+03  -6.36876E+02
 153.07   2.03103E+03  -6.20047E-02  -8.16917E+02  -1.85523E+03
 153.78   1.22389E+03   1.36648E-01  -8.09117E+02  -9.02924E+02
 154.49   7.31459E+03  -1.47185E-01  -7.23227E+03   1.96076E+02
 155.20   1.65134E+03  -7.92476E-01  -7.43574E+02   6.79309E+02
 155.91   1.57635E+03  -4.85099E-01  -4.23793E+02   1.31169E+03
 156.61   5.49246E+03  -1.39658E-01  -5.07056E+03   1.96676E+03
 157.32   1.25427E+03   6.16421E-01  -9.84540E+02  -7.80974E+01
 158.03   4.99694E+03   4.39619E-01  -2.05937E+03   3.98782E+03
 158.74   2.87765E+03  -5.10571E-02  -2.52748E+03   1.36790E+03
 159.45   1.36562E+03   3.50247E-01   1.20361E+03   4.32956E+02
 160.16   3.72883E+03   4.96093E-01  -3.14436E+03   7.71522E+02
 160.87   6.10892E+02  -5.91146E-01  -3.01669E+02   3.89580E+02
 161.57   6.09467E+03   9.87320E-01  -9.15795E+02   3.11933E+02
 162.28   8.68588E+02  -3.96598E-02   8.67632E+02  -2.17296E+01
 162.99   4.42256E+03   8.08149E-01  -2.92620E+02  -2.58830E+03
 163.70   1.95937E+03  -3.63983E-01  -1.80170E+03   2.90487E+02
 164.41   2.12791E+03  -7.21924E-01  -2.28474E+02  -1.45462E+03
 165.12   7.29821E+03  -3.35401E-01  -9.49184E+02   6.80963E+03
 165.83   3.49715E+03  -6.56216E-02   3.35258E+03  -9.68312E+02
 166.54   8.37775E+03  -6.29514E-01   1.48724E+03   6.33725E+03
 167.24   2.85816E+03   8.67754E-01   1.33109E+02  -1.41424E+03
 167.95   4.59637E+03  -7.89445E-01  -6.92625E+02   2.73501E+03
 168.66   5.01216E+03  -4.28149E-01  -5.18543E+02  -4.49975E+03
